asset_prices,C|L|5000|60|5,C|S|5500|60|5,P|L|5500|60|5,P|S|5000|60|5
4931.78,0.00,-0.00,2841.09,-341.09
5784.64,3923.20,-1423.20,0.00,-0.00
5138.33,691.65,-0.00,1808.35,-0.00
4524.29,0.00,-0.00,4878.54,-2378.54
5164.11,820.53,-0.00,1679.47,-0.00
4747.26,0.00,-0.00,3763.70,-1263.70
5588.96,2944.79,-444.79,0.00,-0.00
4982.45,0.00,-0.00,2587.73,-87.73
4335.31,0.00,-0.00,5823.43,-3323.43
5419.30,2096.49,-0.00,403.51,-0.00
3904.99,0.00,-0.00,7975.04,-5475.04
5412.46,2062.28,-0.00,437.72,-0.00
4631.49,0.00,-0.00,4342.53,-1842.53
4952.07,0.00,-0.00,2739.67,-239.67
4825.27,0.00,-0.00,3373.67,-873.67
5101.84,509.18,-0.00,1990.82,-0.00
5294.29,1471.43,-0.00,1028.57,-0.00
4581.54,0.00,-0.00,4592.28,-2092.28
5373.07,1865.33,-0.00,634.67,-0.00
5041.10,205.51,-0.00,2294.49,-0.00
5411.92,2059.60,-0.00,440.40,-0.00
4907.18,0.00,-0.00,2964.11,-464.11
5226.12,1130.60,-0.00,1369.40,-0.00
4913.77,0.00,-0.00,2931.15,-431.15
5117.36,586.80,-0.00,1913.20,-0.00
4956.21,0.00,-0.00,2718.94,-218.94
5467.51,2337.54,-0.00,162.46,-0.00
4736.45,0.00,-0.00,3817.73,-1317.73
4975.01,0.00,-0.00,2624.95,-124.95
4462.83,0.00,-0.00,5185.85,-2685.85
4557.95,0.00,-0.00,4710.25,-2210.25
5496.94,2484.70,-0.00,15.30,-0.00
5336.59,1682.96,-0.00,817.04,-0.00
5534.78,2673.91,-173.91,0.00,-0.00
4278.56,0.00,-0.00,6107.21,-3607.21
5143.93,719.65,-0.00,1780.35,-0.00
5278.16,1390.78,-0.00,1109.22,-0.00
4761.34,0.00,-0.00,3693.29,-1193.29
4724.40,0.00,-0.00,3878.02,-1378.02
4659.72,0.00,-0.00,4201.40,-1701.40
5815.10,4075.48,-1575.48,0.00,-0.00
4737.86,0.00,-0.00,3810.72,-1310.72
4882.77,0.00,-0.00,3086.14,-586.14
4667.09,0.00,-0.00,4164.57,-1664.57
5138.21,691.05,-0.00,1808.95,-0.00
5385.01,1925.07,-0.00,574.93,-0.00
5429.10,2145.48,-0.00,354.52,-0.00
4789.66,0.00,-0.00,3551.72,-1051.72
4380.05,0.00,-0.00,5599.74,-3099.74
4548.48,0.00,-0.00,4757.58,-2257.58
6068.61,5343.05,-2843.05,0.00,-0.00
5754.90,3774.49,-1274.49,0.00,-0.00
5739.13,3695.65,-1195.65,0.00,-0.00
5265.12,1325.58,-0.00,1174.42,-0.00
5107.29,536.43,-0.00,1963.57,-0.00
4766.43,0.00,-0.00,3667.86,-1167.86
5646.55,3232.76,-732.76,0.00,-0.00
5054.04,270.19,-0.00,2229.81,-0.00
5185.04,925.22,-0.00,1574.78,-0.00
5160.62,803.10,-0.00,1696.90,-0.00
4827.96,0.00,-0.00,3360.20,-860.20
5407.61,2038.07,-0.00,461.93,-0.00
4565.79,0.00,-0.00,4671.07,-2171.07
5287.61,1438.04,-0.00,1061.96,-0.00
4699.22,0.00,-0.00,4003.89,-1503.89
5148.02,740.09,-0.00,1759.91,-0.00
4690.25,0.00,-0.00,4048.74,-1548.74
5024.18,120.88,-0.00,2379.12,-0.00
5264.85,1324.25,-0.00,1175.75,-0.00
5270.56,1352.81,-0.00,1147.19,-0.00
5960.98,4804.89,-2304.89,0.00,-0.00
5054.37,271.83,-0.00,2228.17,-0.00
5221.52,1107.60,-0.00,1392.40,-0.00
4761.35,0.00,-0.00,3693.25,-1193.25
5007.65,38.26,-0.00,2461.74,-0.00
4655.95,0.00,-0.00,4220.23,-1720.23
5128.14,640.68,-0.00,1859.32,-0.00
4775.95,0.00,-0.00,3620.24,-1120.24
4738.37,0.00,-0.00,3808.13,-1308.13
4921.45,0.00,-0.00,2892.77,-392.77
4903.56,0.00,-0.00,2982.19,-482.19
